ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"195.210.172.43","elite","AS8359","RU","MTS PJSC","60","InterneyshenelHouse","58350","socks4","4498","1","2024-01-29T01:31:38.129Z","98","5719","5830"
"43.153.175.132","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","236","Tencent Cloud Computing","443","socks5","4288","1","2024-01-29T01:31:38.030Z","70","4116","5870"
"185.32.4.98","elite","AS60645","PL","AS Consulting Sp. z o. o.","38","Core Network Fiber","4153","socks4","4804","1","2024-01-29T01:31:35.443Z","99","5821","5859"
"158.140.173.212","elite","AS63859","ID","MYREPUBLIC","282","N/A","44550","socks4","5095","1","2024-01-29T01:31:35.432Z","98","5754","5863"
"185.171.54.35","elite","AS44285","IR","Shahrad","108","N/A","4153","socks4","5009","1","2024-01-29T01:31:35.428Z","95","5584","5882"
"104.21.85.200","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","3801","1","2024-01-29T01:31:35.429Z","100","5854","5854"
"195.2.71.201","elite","AS48282","RU","VDSINA","48","N/A","16072","socks5","4891","1","2024-01-29T01:31:35.444Z","96","5687","5905"
"190.63.152.118","elite","AS23487","EC","CONECEL","185","CONECEL","5678","socks4","4002","1","2024-01-29T01:31:35.433Z","97","5556","5723"
"51.83.34.150","elite","AS16276","FR","OVH SAS","7","OVH","34214","socks5","4794","1","2024-01-29T01:31:32.636Z","100","5794","5800"
"154.66.108.52","elite","AS37642","LS","Comnet Pty Ltd","203","ISPClients","3629","socks4","4704","1","2024-01-29T01:31:32.441Z","80","4734","5901"
"186.248.87.172","elite","AS23106","BR","AMERICAN TOWER DO BRASIL-COMUNICAÇÂO MULTIMÍDIA LT","288","AMERICAN TOWER DO BRASIL-COMUNICAÇÂO MULTIMÍDIA LT","5678","socks4","4711","81","2024-01-29T01:31:32.529Z","99","5861","5927"
"31.206.38.49","elite","AS15924","TR","Vodafone Net Iletisim Hizmetler","71","Vodafone Net Iletisim Hizmetler","37630","socks4","3910","1","2024-01-29T01:31:32.637Z","100","5883","5900"
"51.195.40.191","elite","AS16276","DE","OVH SAS","11","OVH GmbH","8804","socks4","4906","1","2024-01-29T01:31:32.638Z","87","5114","5875"
"129.226.92.230","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","385","Aceville Pte.ltd","443","socks4","4690","1","2024-01-29T01:31:32.445Z","95","5517","5807"
"36.37.153.54","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","192","Viettel (cambodia) Pte, Ltd.","51080","socks4","5198","1","2024-01-29T01:31:32.444Z","97","5727","5875"
"109.92.138.250","elite","AS8400","RS","TELEKOM SRBIJA a.d.","34","Telekom","5678","socks4","5112","2","2024-01-29T01:31:29.433Z","79","4688","5930"
"41.225.229.55","elite","AS37671","TN","3S INF","56","ATI - Agence Tunisienne Internet","1080","socks4","4999","1","2024-01-29T01:31:29.337Z","99","5784","5855"
"191.96.49.100","elite","AS19844","US","SBA Edge, LLC","98","Ipxo","3389","socks4","2202","1","2024-01-29T01:31:29.435Z","91","5304","5853"
"31.204.28.136","elite","AS209372","US","SIA \"Singularity Telecom\"","92","Popov Andry Vasilievich","5432","socks5","4306","1","2024-01-29T01:31:29.332Z","99","5768","5837"
"178.212.52.92","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","35","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","2283","1","2024-01-29T01:31:25.926Z","99","5865","5930"
"88.80.148.190","elite","AS44901","BG","Belcloud LTD","36","Belcloud LTD","9876","socks4","237","1","2024-01-29T01:31:25.735Z","100","1","1"
"101.51.104.213","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","2616","1","2024-01-29T01:31:25.928Z","54","3150","5868"
"2.197.124.172","elite","AS16232","IT","Telecom Italia Mobile","81","N/A","4153","socks4","5002","1","2024-01-29T01:31:25.739Z","98","5621","5761"
"207.180.213.101","elite","AS51167","DE","Contabo GmbH","93","Contabo GmbH","7497","socks5","5195","1","2024-01-29T01:31:25.829Z","69","4001","5828"
"192.46.229.111","elite","AS63949","SG","Akamai Technologies, Inc.","184","Linode, LLC","8080","socks4","4611","1","2024-01-29T01:31:25.736Z","99","5885","5947"
"136.243.214.242","elite","AS24940","DE","Hetzner Online GmbH","84","N/A","24940","socks4","4692","1","2024-01-29T01:31:25.930Z","100","5850","5850"
"38.127.179.121","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","253","1","2024-01-29T01:31:25.929Z","100","5821","5833"
"113.123.0.14","elite","AS4134","CN","Chinanet","291","Chinanet SD","57114","socks4","3191","1","2024-01-29T01:31:25.831Z","39","2270","5747"
"79.141.160.2","elite","AS202015","US","HZ Hosting Ltd","93","HZ Na21","48462","socks5","1414","1","2024-01-29T01:31:22.836Z","95","5567","5864"
"24.125.77.113","elite","AS7725","US","Comcast Cable Communications, LLC","103","Comcast Cable Communications Holdings, Inc","55539","socks4","4293","82","2024-01-29T01:31:22.732Z","98","5856","5981"
"167.71.164.35","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","46303","socks4","933","1","2024-01-29T01:31:22.729Z","97","5645","5840"
"120.27.14.145","elite","AS37963","CN","Addresses CNNIC","217","Aliyun Computing Co., LTD","80","socks4","3997","1","2024-01-29T01:31:22.727Z","87","5156","5917"
"63.239.150.226","elite","AS209","US","CenturyLink Communications","125","DEN VENTURE PARTNERS","5678","socks4","2306","1","2024-01-29T01:31:22.641Z","100","5829","5830"
"37.152.163.238","elite","AS198569","IR","Rahanet Zanjan Co. (Private Joint-Stock)","118","Rahanet Zanjan Co.","4153","socks4","5113","1","2024-01-29T01:31:22.730Z","95","5555","5871"
"195.208.61.116","elite","AS62240","GB","Clouvider Limited","10","Qwarta LLC","52803","socks4","4399","1","2024-01-29T01:31:19.641Z","100","5862","5872"
"172.105.251.72","elite","AS63949","DE","Akamai Technologies","80","Linode","4003","socks4","4186","1","2024-01-29T01:31:19.642Z","99","5761","5806"
"200.81.144.253","elite","AS270934","BR","Silva de Sá Informática LTDA","290","Silva de Sá Informática LTDA","1080","socks4","4787","1","2024-01-29T01:31:16.737Z","100","5932","5956"
